title,tag,artist,year,lyrics,views,rank
PYNK,pop,Janelle Mone,2018,"[Verse 1: Janelle Monáe]
Pynk, like the inside of your... baby
Pynk behind all of the doors... crazy
Pynk, like the tongue that goes down... maybe
Pynk, like the paradise found
Pynk when you're blushing inside... baby
Pynk is the truth you can't hide... maybe
Pynk, like the folds of your brain...  crazy
Pynk as we all go insane

[Pre-Chorus: Janelle Monáe]
So, here we are in the car
Leavin' traces of us down the boulevard
I wanna fall through the stars
Getting lost in the dark is my favorite part
Let's count the ways we could make this last forever
Sunny, money, keep it funky
Touch your top and let it down

[Chorus: Janelle Monáe]
Yeah, somethin' like that
Owwww! Somethin' like that
Yeah, somethin' like that
'Cause boy, it's cool if you got blue
We got the pynk
[Verse 2: Janelle Monáe]
Pynk, like the lips around your... maybe
Pynk, like the skin that's under... baby
Pynk, where it's deepest inside... crazy
Pynk beyond forest and thighs
Pynk, like the secrets you hide... maybe
Pynk, like the lid of your eye... baby
Pynk is where all of it starts... crazy
Pynk, like the holes of your heart

[Pre-Chorus: Janelle Monáe & Grimes]
So, here we are in the car
Leavin' traces of us down the boulevard
I wanna fall through the stars
Getting lost in the dark is my favorite part
Let's count the ways we could make this last forever
Sunny, money, keep it funky
Touch your top and let it down, huh

[Chorus: Janelle Monáe & Grimes]
Yeah, somethin' like that
Owww! Somethin' like that
Yeah, somethin' like that
'Cause boy, it's cool if you got blue
We got the pynk
Yeah, somethin' like that
Owww! Somethin' like that
Yeah, somethin' like that
'Cause boy, it's cool if you got blue
We got the pynk
[Bridge: Janelle Monáe] (Emotion Picture Only)
I just wanna, I just wanna
I just wanna, I just wanna
I just wanna, I just wanna paint the town
I don't wanna hide my love
I just wanna hold your hand and be the one that you think of
When you need a holiday, when you wanna drink rosé
I just wanna paint your toes and in the morning kiss your nose
'Cause when I'm with you I don't feel afraid
Maybe this love will indoctrinate
I echo every word that you say
The way you feel, yeah I feel the same way
Remember the night when I combed your hair
I hope I didn't freak you out when I stared
I donate my truth to you like I'm rich
The truth is love ain't got no off switch
So if the walls come tumbling down
And if the ocean really does drown
And if my memories never come back
I'll still remember when we were first was naked at
Picture our faces and new oasis
When we made love we left many traces
Just like the blush thats on your cheeks
Deep inside we're all just Pynk

[Outro: Janelle Monáe]
Pynk, like the inside of your... baby (we're all just pink)
Pynk, like the walls and the doors... maybe (deep inside, we're all just pynk)
Pynk, like your fingers in my... maybe
Pynk is the truth you can't hide
Pynk, like your tongue going round... baby
Pynk, like the sun going down... maybe
Pynk, like the holes in your heart... baby
Pynk is my favorite part",295557,1645
White Dove,pop,Scorpions,1994,"A place without a name
Under a burning sky
There's no milk and honey here
In the land of God

Someone holds a sign
It says we are human, too
And while the sun goes down
The world goes by

White dove
Fly with the wind
Take our hope under your wings
For the world to know
That hope will not die
Where the children cry

Waves, big like a house
They're stranded on a piece of wood
To leave it all behind
To start again
But instead of a new life
All they find is a door that's closed
And they keep looking for
A place called hope

White dove
Fly with the wind
Take our hope under your wings
For the world to know
That hope will not die
Where the children cry

Na na
Na na na na
Na na na na na na na na
Na na
Na na na na
Na na na na na

Can anyone tell me why (can anyone tell me why)
The children of the world (children of the world)
Have to pay the price (pay the price)

And now you're telling me
You've seen it all before
I know that's right but still
It breaks my heart
Well, the golden lamb we've sent
Makes us feel better now
But you know it's just a drop
In a sea of tears

White dove
Fly with the wind
Take our hope under your wings
For the world to know
That hope will not die
Where the children cry

White dove
Fly with the wind
Take our hope under your wings
For the world to know
That hope will not die
Where the children cry

Na na
Na na na na
Na na na na na na na na
Na na
Na na na na
Na na na na na",4039,67238
Save me,pop,Mahmut Orhan,2017,"My friend, what have you done to me
They've been watching
Been hurting, falling on my knees
I've been fighting
Don't ask me why, don't make me lie
I didn't wanna hide, didn't wanna hide

Somebody to save me, save me
It's somebody to save me, save me
Could you save us? I need faith, yea
Woah oh

My friend, what have you done to me
They've been watching
Been hurting, falling on my knees
I've been fighting
Don't ask me why, don't make me lie
I didn't wanna hide, didn't wanna hide

Somebody to save me, save me
It's somebody to save me, save me
Could you save us? I need faith, yea
Woah oh",3684,72057
​what the hell happened?,pop,ked,2021,"[Verse 1]
Vodka disguised as water in her bottle on her desk
Blacked out in the girl's bathroom, missing her math test
She wasn't always like this, so what the hell happened?
I tried to express my concern, but she just started laughing

[Pre-Chorus]
She used to care, she used to try, she used to get good grades
The marker she used to draw on herself with turned to blades
Sex with random guys in the back of their cars
Walking back homе in the cold, alone in the dark

[Chorus]
Shе wasn't always like this, so what the hell happened?
Whenever I express my concern, she starts laughing
I wanna know how you're supposed to help someone
Who doesn't want your help 'cause they think their life is done

[Verse 2]
Moved away from her hometown many years ago
I wonder how she's doing now, I truly wanna know
Is she doing better? Has she fixed her harmful ways?
Or is she underground, laying lifeless in her grave?
[Chorus]
She wasn't always like this, so what the hell happened?
Whenever I express my concern, she starts laughing
I wanna know how you're supposed to help someone
Who doesn't want your help 'cause they think their life is done

[Bridge]
I wish I could do something
I wish I could help her feel
I wish I could let her know she doesn't have to sign the devil's deal
I wish I could help her understand this doesn't have to be the end
I wish I could tell her all of that, all of that as her friend

[Chorus]
She wasn't always like this, so what the hell happened?
Whenever I express my concern, she starts laughing
I wanna know how you're supposed to help someone
Who doesn't want your help 'cause they think their life is done

[Outro]
No, n- no, I'm fine
I am, I'm fine, I'm-
Seriously, it's alright
I promise, I'm fine",3538,74335
Theres Something About That Name,pop,Bill Gaither,2015,"Jesus, Jesus, Jesus; there's just something about that name
Master, Savior, Jesus, like the fragrance after the rain;
Jesus, Jesus, Jesus, let all Heaven and earth proclaim
Kings and kingdoms will all pass away
But there's something about that name
Kings and kingdoms will all pass away
But there's something about that name",52195,8530
2003,pop,Todrick Hall,2018,"[Verse 1]
I daydreamed that we were kids still in high school
Remember when I ran and hid cuz I liked you
We fell in love just because we had the right to
Ain't it crazy how the world and the time flew
You put your digits in my flip phone
Turned up the radio so we could get our kiss on
I'ma text you sweet dreams when I get home
But we forget to seize the moment until it's gone

[Pre-Chorus 1]
Hall pass skippin class in the back lot
Wish we could travel to the past for one last shot
You'll be my cheerleader I'll be your mascot
Take you to the prom steal a kiss that your dad caught
Years later gettin married how the wine taste
I'ma put you in my top eight on my myspace
Maybe it's the wrong time but the right place
But whatever the case just, just

[Chorus]
Hop in my jeep, there's no doors on it
Kick it with me, I'm all yours baby
We could be wild and free, TBT, like it's 2003
Lets run to the beach, I wanna feel the
Sand on my feet, hope I'm still the
One that you need baby lets fall deep like it's 2003
Like it's 2003 yeah
[Verse 2]
I've got initials in a tree with a heart shape
Long as my baby here with me then my heart safe
If it's the shoulder that you need on a hard day
Come lay your worries all on me I'm never far away
Love is just a pool so baby jump in
I never knew someone like you that I could trust in
The things I wouldn't do for you, there is nothin
They say if love is really true then in must win

[Pre-Chorus 2]
Me and you in the tux and the white dress
You're laughing cuz I spilled a cup on my white vest
Wish we could just bottle it up cuz it's timeless
Don't want nobody else cuz my baby is the finest
Years later gettin older right beside you
Grateful every single day that fate made me find you
Maybe in heaven if you want we'll do a part two
Cuz you know that I do, so just

[Chorus]
Hop in my jeep, there's no doors on it
Kick it with me, I'm all yours baby
We could be wild and free, TBT, like it's 2003
Lets run to the beach, I wanna feel the
Sand on my feet, hope I'm still the
One that you need baby lets fall deep like it's 2003
Like it's 2003 yeah",5735,51450
Good Love,pop,Zola Blood,2017,"Sent west
Senseless
And way out
Let the hours unfold the answers
In our wasteland, baby

Let the rain through your hands
Let the rain through your hands

Always I'll take good love
Or anything that might save
Our place for a little longer

Gold pressed
Temptress
Of silence
Let the morning call unanswered
And ransom
The day off

Let the rain through your hands
Let the rain through your hands
Always I'll take good love
Or anything that might save
Our place for a little longer",11483,29825
Brand New Best Friend,pop,Dr. Doofenshmirtz,2011,"[Dr. Doofenshmirtz, 2nd Dimension Dr. Doofenshmirtz, both]

[Spoken]
Do I know you?
Yeah, I'm you, from another dimension!
Well, that would explain the handsomeness
Right back atcha, big guy!
Does that mean you and I are exactly alike?
...I suppose so...

[Verse 1]
Do you want some rice pudding?
Ick, no, that's gross!
It was a test! Almond brittle?
Ooh, I love it the most!
Me too!

[Verse 2]
Do you collect coins?
Yeah, just in case
Vending machines become the
Dominant race
[Pre-Chorus]
I've been alone all these years
With my irrational fears
(But not that vending machine thing
That's gonna happen)
But now before me I see
Someone with whom I agree

[Chorus]
I've found a brand new best friend
And it's me
I've found a brand new best friend
And it's me

[Verse 3]
Hmm, I thought I'd be taller
I've been told I slouch
I thought I've have both my eyes, you know?
It's in this pouch. Ouch!

[Spoken]
You know, I can't help but notice that your scar goes over your eyepatch
Yeah...
...Nothing...

[Verse 4]
Do llamas weird you out?
Yeah, are they camels or sheep?
No, no, I meant Lorenzo
Oh, that's right, he played Meap
[Pre-Chorus]
Now I know all about you
And you know all about me (ooh, wee, ooh!)
And now before me I see
Someone with whom I agree

[Chorus]
I've found a brand new best friend
And it's me
I've found a brand new best friend
And it's me

[Outro]
Now that I've found you
We can be a duo
That's right, twice the evil
Double Doofenshmirtz
Coming at you Fridays!

[Spoken]
What's that, are we doing a TV show together?
Oh, no, it just sort of sounded like- I-I mean we could. We should!
Hmm, maybe we're not so much alike...
That could be your catchphrase! You're the grumpy one. Eh?",7186,43179
Wild West,pop,Gregory and the Hawk,2007,"When the end comes you'll see
Hydrogen electrolysed
Amazing, you're amazed
At the cold you see the fire by your face

Bitter bloom, flightless skies
To fear the doom, it's no surprise

Now realize
There's no sense in losing your mind
Before your time

In order not to worry you write the words down
But it's a fool's game and your game face is shameful

So rise young sun you're a tireless one
And you'll be back, burning
When the morning comes
When you catch my soul upon waking
Will you make a wish
For the wild west to accept the excess?
When the end comes you'll see
Fields of green beyond your reach
And heartbeats

Rise young sun, you're a tireless one
And you'll be back, burning
When the morning comes
When you catch my soul upon waking
Will you make a wish

For the fool's game to equal his insane?",4414,62967
Way Too Long,pop,"Nathan Dawe, Anne-Marie & MoStack",2021,"[Intro: MoStack]
Hey yo, yo
It's Stack Rack
Nathan Dawe
Anne-Marie

[Verse 1: Anne-Marie]
Really wanna call you (Yeah, yeah)
But if I called you up, would that be wrong?
It's funny how I loved you (Yeah, yeah)
Then suddenly you're nothin' but a song
Summer in the back of your car
Singin' Drake in the dark
I've been reminiscin' 'bout our love
I can't help but think about you
And the way that it was
I wish I could let go of us

[Chorus: Anne-Marie & MoStack]
It's been way too long
Oh woah-oh-oh, it's been way too long
Oh woah-oh-oh, oh, oh woah-oh-oh
It's been way too long
Oh woah-oh-oh, it's been way too long
Been way too long, oh (Hey, yo, yo)
Since you've been gone (Stacka)
[Verse 2: MoStack]
It's been way too long, come see me, please
She said it's way too long, she can't handle me (Haha)
I know you're a good girl, be bad for me (Bad)
My money pretty like Anne-Marie (Pretty man)
Don't want one wife, tryna marry three (Woo)
Forget quality, I want quantity (More)
If you done me wrong, don't bother me (Don't)
Forget sorry, no apologies
Ah, I like your style, could you wine for me?
Yeah, do that same dance as Cardi B (Bardi)
I can't lie, man, I need your girl (Haha)
No, I'm jokin', I need a deal
Or even Mabel's good for me
Just fun, no label, that's good for me
Who's the chick I need? Mmm
It's Jade from Little Mix for me, what you sayin', B?

[Chorus: Anne-Marie]
It's been way too long
Oh woah-oh-oh, it's been way too long
Oh woah-oh-oh, oh, oh woah-oh-oh
It's been way too long
Oh woah-oh-oh, it's been way too long (Oh, ooh)
Been way too long, oh
Since you've been gone
[Bridge: Anne-Marie]
Summer in the back of your car
Singin' Drake in the dark
Oh, it's been too long
I can't help but think about you
And the way that it was
Baby, I should let go of us, oh

[Chorus: Anne-Marie]
It's been way too long
Oh woah-oh-oh, it's been way too long (It's been way too long, no)
Oh woah-oh-oh, oh, oh woah-oh-oh
It's been way too long
Oh woah-oh-oh, it's been way too long
Been way too long, oh
Since you've been gone
Oh woah-oh-oh, it's been way too long (It's been way too long)
Oh woah-oh-oh, oh, oh woah-oh-oh (It's been too long)
It's been way too long
Oh woah-oh-oh, it's been way too long (It's been way too long)
Been way too long, oh
Since you've been gone (It's been way too long)",14248,25183
Shortly After We Were Married...,pop,Original Broadway Cast of Fun Home,2015,"[HELEN]
You know shortly after we were married, we took a drive from Germany, where we were living, to Paris. He wanted me to meet an army buddy of his. We had a beautiful drive.​

And then, just outside of Paris, he just went crazy—just started screaming at me. ""Why couldn't I read a simple fucking map?"" I was ""a stupid worthless bitch.""

I was dumbfounded. I was terrified. It came out of nowhere, as far as I knew... Of course, I learned later that this man had been your father's lover.​

[MEDIUM ALISON]
I don't know how you've done it.​",4140,66048
I Remember You Homie,pop,MC Blvd,2015,"Hey Bouleverd, I wanna get rushed into the barrio ese
Hey hold on carnalito. Let me tell you a true story that might change your mind about being in a gang

I remember when we were just a couple of mocosos
Causing trouble all the time and getting caught with the babosos
But it was fun and we had so many good times
Me n you we put our troubles behind
It was the two of us kickin it day n night
Looking forward to the chance that we would get in a fight
Toe to toe straight boxing, putazos cada dia
Then we met up with some vatos that belonged to a pandilla
They hit us up. Were you from? I said no where man
They replied real quick. Ese get jumped into our gang
Nosotros controlamos aqui chavalas
We heard that you were tough but sebes que? We call the ballas
I looked at my carnal, my homie, my dawg
Before I had a chance the gangsters hit'em with a love
Ran up to homeboy n I gave em a putazo
Busted em in the grill but tovia no hiso caso
They jumped me from behind, I tried to hold my ground
Before I knew it man my pinche body went down
In a daze de verded no me recuerdo
All I could remember was my homie sufrieundo
It only lasted about a minute or two
But to me it seemed like it would never be through
After they rushed us they came and shook our vaizas
Now they respect us before they despised us
We're in a gang now, pues nimodo
Me n my homie beame two damn cholos
I remember you homie, I remember you homie
Ese I remember you like if it was yester day

Pistiando por la primera vez
I knew that I was late but I could care less
Me n my homie on a metress
With hainaz to the right and hainaz to my left
I felt firme. Nada me vale
I'm with my homeboy listo pal desmadre
A la brava I felt like doing a jale
I asked around but everybody said chale
But you know what, here comes mi perro
He said I got your back holmes, tu sabes te quiero
So we went off in la primera mission
After our mission we felt all chingon
So we got some yezca and went up to mojale
Dropped on the oldies and kicked it loud
He liked to play brenton woods gratest hits
His favorite song was ""Baby you Got it""
When he would sing it would echo trough the cannon
It used to seem that like this place was his companion
Again I can hear it now
That foo used to sing it loud
The precious memory man, cause that's all I have
Sometimes I kick it and just think n laugh
Sometimes I kick it n just she'd a tear
""I LOVE YOU HOMIE, I MISS YOU""
I wish you were here
I remember you homie, I remember you homie
Ese I remember you like if it was yester day

Una noche loca finde semana
I was crusin bumpin Santana
That night tenia males sentidos
Like someone would die or end up all torcido
I thought I was trippin so I got onto the highway
Left L. A. And headed to the Valle
Got their and my homie was waiting for me
He never let me down he was a down homie
I picked em up and headed to the, spot
On the way over their I told em what I thought
He said, Ey carnal no te procupes brother
Nothing could happen cause we're down with each other
I felt much better when we got to the boat
As I could hear the people bumpin the boombox
Scene all kind of glittery lanes
Midnight was sparkling
Ranflas to the side made it hard to find parking
Finally we spotted one and parked my ranfla
As soon as we came they said wuz up que paza
My homie was anxious to get high ey
I was checking out ht hainaz they looked fine ey
Then all of a sudden we seen another gang
They were driving up slow, everybody hit the floor
The shotgun rang it was bang bang bang
I let out a whoop because tenia dolor
I seen my homboy dying man, I was crying
Holdin em tight because I was trying, to keep em alive
So the lord wouldn't take em
His heart stopped beating so I started to shake em
I said, Please don't die mi carnal
If you do, then everybody van a pagar
He responded gently, gently as a dove
He said take care of my jefa cause it's her that I love
Man I went crazy. What would you do!!!
If you see a tight ass homie die infront of you
I remember you homie, I remember you homie
Ese I emember you like if it was yester day

Bien carnalito. Entendiste now little brother
Yea Boulevard I understand what you said
Cause I don't wanna die like my big brother

Yeeeea, I remember when we used to play shootem up, all righ
I remember whwn we used to play shootem up shootem down bang bang hooooooooomie ooh I love you brotha ooh how I miss you know ye hea",9677,34081
Lose My Mind,pop,Anthony Ramos,2021,"[Verse 1]
I was shy, you were fun
Met you after dark, the night was young
Way you danced had me sprung
And now we in the bathroom, shirts undone

[Pre-Chorus]
Baby, I wanted a taste of you, thought it was harmless
Now I'm addicted, so walkin' away is the hardest
I keep on touchin', I'm touchin' your body regardless
When I know you're heartless
Baby, you're heartless, but

[Chorus]
I lose my fuckin' mind when you take off your clothes
I look up in your eyes like, babe, I'm 'bout to blow
'Cause when you take my body, damn, you take my soul
I lose my fuckin' mind when you take off your clothes
So let's get naked
Even if it gets a little complicated
You're the best kind of bad, don't wanna shake it
Damn, I know you're 'bout to break my heart, but
I lose my fuckin' mind when you take off
When you take off your clothes
[Verse 2]
Can't deny, I wasn't blind
I just didn't wanna read between the lines
And now I'm hooked, oh, she got me shook
Like this the last time, but we said the same last night

[Pre-Chorus]
Baby, I wanted a taste of you, thought it was harmless
Now I'm addicted, so walkin' away is the hardest
I keep on touchin', I'm touchin' your body regardless
And I know you're heartless
Baby, you're heartless, but

[Chorus]
I lose my fuckin' mind when you take off your clothes
I look up in your eyes like, babe, I'm 'bout to blow
'Cause when you take my body, damn, you take my soul
I lose my fuckin' mind when you take off your clothes
So let's get naked
Even if it gets a little complicated
You're the best kind of bad, don't wanna shake it
Damn, I know you're 'bout to break my heart, but
I lose my fuckin' mind when you take off
When you take off your clothes

[Bridge]
Baby, I wanted a taste, harmless (Woah, woah)
Now I'm addicted, the hardest (Ooh)
I keep on touchin', regardless
Found out the hard way (Found out the hard way)
Oh baby, you're heartless, but (Baby, you're heartless)
[Chorus]
I lose my fuckin' mind when you take off your clothes
I look up in your eyes like, babe, I'm 'bout to blow
'Cause when you take my body, damn, you take my soul (Take my)
I lose my fuckin' mind when you take off your clothes
So let's get naked (Oh yeah)
Even if it gets a little complicated (Oh yeah)
You're the best kind of bad, don't wanna shake it (You're the best kind of bad)
Damn, I know you're 'bout to break my heart, but
I lose my fuckin' mind when you take off
When you take off your clothes",3632,72835
Never Come Back Again,pop,Austin Plaine,2015,"I wanna see the world
I wanna sail the ocean
I wanna know what it feels like to never come back again

I wanna feel the waves
Crushin’ down on heartache
I wanna find the key to the sky and never come back again

I wanna wake my soul
Climb the highest mountain
I wanna write my name in the clouds and never come back again

Oh, oooooooh

I wanna find my love
Lose myself in passion
I wanna love her in my heart and never come back again

I wanna see the end
Of a world that’s rounded
I wanna know what it feels like to never come back again
Oh, oooooooh

I wanna ease my mind
Of all the doubt that haunts it
I wanna run out in the light and never come back again

I wanna see those stars
Shinin’ down from heaven
I wanna know what it feels like to never come back again
I wanna know what it feels like to never come back again",24013,16413
49 Hairflips,pop,Jonathan Wilson,2018,"We were burning we were looting
We were learning one or two things about life
We should fuck right in front of them
Just to show them our light

We’ll be fucking we’ll be sucking
While the rest of them were posting their lives
These kids will never rock again
Sign of the times

Yeah rimming and shooting
I'm so destitute without your love
YOU’RE MOTHER earth ecstasy
I call it divine

Spinning and hurting
Theres no resolution tonight
When will I breathe deep again again
Is there laughter in sight?

49 HAIRFLIPS 
49 HAIRFLIPS on DAYQUIL  …
I believe in you
Do you believe in me ?
No we don’t believe in anything

I’m not  leaving these  walls
Without  the  prettiest song I  can  find
I  miss  your  laugh most of  all
I  really  miss  it  tonight",2029,112114
もさを mosawo - 恋色 Koiiro English Translation,pop,Genius English Translations,2021,"It's always so adorable
Those incredible eyes
So crafty, don't you think?
Looking away, trying to hide your shy
The world is becoming a colorful place

My heart is always bursting with fullness
It's like magic
I wonder why
I want you to accept me
Is this love?
I hope that it is love

It felt like you're far away
But you were near me
It almost seems like fate
You have always stayed by my side
And it's me you've been looking at
No one else, right?

I love you
Now, I'll let you carry my love
Hey, I hope I can be honest
From now on, can I stay next to you more often?
The loves come together
I love you
Now, I'll send you my loving thoughts
Hey, will you notice them?
I almost can't help myself
My love for you
Goes deep to the bottom of my heart

Profoundly, I believe in miracles
Like a fool
I was floating on air all day
Again today
Love is everywhere

My fingertips can almost touch you
At this distance
I hope we can remain like this forever
Take my hand and hold me
There's now way
I can say something like that to you

I love you
Now, I'll let you carry my love
Hey, I hope I can be brave enough
Can I look at you just a bit longer?
I want to stay drown in your eyes
I love you
Now, I'll send you my loving thoughts
Hey, is it okay if it overflows?
Holding the only love in my hand tightly
I pray for eternity
From the bottom of my heart

I love you
Now, I'll let you carry my love
Hey, I hope I can be honest
From now on, can I stay next to you more often?
The loves come together

I love you
Now, I'll send you my loving thoughts
Hey, will you notice them?
I almost can't help myself
My love for you
Goes deep to the bottom of my heart

I almost can't breath
That's how strong it is
You become the only one in my eyes

I'm in love",2258,103584
Extreme Wealth and Casual Cruelty,pop,Unknown Mortal Orchestra,2015,"[Verse 1]
A ghost by any other name
She’s just a frozen satellite
She’ll close her mouth and kiss with her eyes
A rose just goes insane
She spoke soft prose in Catalan
But goes further south when she speaks her mind

[Chorus]
If we were just strangers, then we would fall in love again
Abandon extreme wealth and casual cruelty
And now I can see why everyone acts weird to me
Abandon extreme wealth and casual cruelty

[Verse 2]
A ghost that creeps around
A crystal surface underground
A light shows flowers crushed inside
At most the blooms get high
And stay there frozen underground
But she’s a ghost that smell like a rose
[Chorus]
If we were just strangers, then we would fall in love again
Abandon extreme wealth and casual cruelty
And now I can see why everyone acts weird to me
Abandon extreme wealth and casual cruelty

[Instrumental Bridge]

[Chorus]
If we were just strangers, then we would fall in love again
Abandon extreme wealth and casual cruelty
And now I can see why everyone acts weird to me
Abandon extreme wealth and casual cruelty
If we were just strangers, then we would fall in love again
Abandon extreme wealth and casual cruelty
And now I can see why everyone acts weird to me
Abandon extreme wealth and casual cruelty",15749,23189
Be Strong,pop,Barrington Levy,1993,"Oh....na..na..na...

(Verse 1:)
I tried my best - never to stop love you
To be there for you, oh
You make my life so miserable
Jealousy and problems, coming to our lifes

We've been together for so long
And we've been through so much

(Chorus:)
Try to do right
But everything I do, seems to go wrong
If I didn't love you baby
I'll be long gone
I need you now, I need you to be strong
Be strong, be strong, be strong

Oh....na..na..na...
(Verse 2:)
Everytime I go out, she always accuse me
Smelling me and telling me, who's perfume is that
Why don't you trust me, you know I'm always faithfull
I'm only looking at the girl, but babs I don't touch

We've been together for so long
And we've been through so much

(Chorus:)
Try to do right
But everything I do, seems to go wrong
If I didn't love you baby
I'll be long gone
I need you now, I need you to be strong
Be strong, be strong, be strong

Oh....na..na..na...

We've been together for so long
And we've been through so much

(Repeat Chorus:)
Try to do right
But everthing I do, seems to go wrong
If I didn't love you baby
I'll be long gone
I need you now, I need you to be strong
Be strong, be strong, be strong
Oh....na..na..na...
Be strong, be strong, be strong...",8486,37858
Dream,pop,Picture This,2017,"I fell in love four times today but they dont even know
'cause i just throw my heart away, too shy to say hello
And i adore you from afar like an angel in the night
My heart has some battle scars but ill be alright
And sometimes i walk when i want to run

Leave me to the night and in the morning ill be alright
'cause I've got my hands and ill be holding on oh so tight
Leave me to the sun and when the clouds come ill be done
Oh ill be done
Oh ill be done

I just want to feel high today forget about myself
Put my clothes on and fly away go to someplace else
My mind takes me to places that my legs could never go
My poor heart it races every time that its exposed

And sometimes i walk when i want to run
I can't seem to talk or get anything done

Leave me to the night and in the morning ill be alright
'cause I've got my hands and ill be holding on oh so tight
Leave me to the sun and when the clouds come ill be done
Oh ill be done
Oh ill be done
Im gonna find out what it means
Oh to dream a dream
Feels like I'm bursting at the seems
Oh dream

And leave me to the night and in the morning ill be alright won't you leave me to the night and in the morning ill be alright
'cause I've got my hands and ill be holding on so tight

Leave me to the sun and when the clouds come ill be done
Oh ill be done
Oh ill be done
Oh ill be done
Oh ill be done
Oh ill be done
Oh ill be done
Oh ill be done
Oh ill be done",2562,94420
Losing Face,pop,Wilbur Soot,2020,"[Intro: Joe Goldsmith]
Woo-wee!
Woo!

[Verse 1: Wilbur Soot]
First and foremost
Oh, let it be said, my dear
I was gonna wait for you
So this is not an act of spite
It's a visceral coming-to
She wrote an album
And that’s something that I can't do
But what I can do is spit the truth
And it all leads back to you

[Verse 2: Wilbur Soot]
Secondly, I know I haven't written much
You know the way I can be
Tonight, I'm fucking drunk
So it's all gonna be about me
Take a seat, pull up a chair
Give me one beat to fill my glass
I've lost a piece of me in you
But you've lost all your past
[Chorus: Wilbur Soot]
Is he better than me?
Has he seen more to this life?
Can he smoke more? Can he fuck more?
Are you good enough to be his wife?
Can he break me? Can he break you?
Oh, I don't know what I'm to do
Yes, I don't know what I'll fuckin' do

[Verse 3: Wilbur Soot]
I've seen our café, I've clocked our plans
Oh, what could have been
If you didn’t go and fall in love
And ruin everything
I've seen him, I've been him
I've felt the same way
But now I break against the dirt
Along with our cafés

[Chorus: Wilbur Soot]
Is he better than me?
Has he seen more to this life?
Can he smoke more? Can he fuck more?
Are you good enough to be his wife?
Can he break me? Can he break you?
Well, I don't know what I'm to do
Yes, I don't know what I'll fuckin' do
[Bridge: Wilbur Soot]
I've lost all meaning
I've lost my sense of hope
I've seen him going out with you
I've seen what he can do
So touch him and break me
Strip naked, embrace him
Lose faith in his pace, his
Stamina and grace
I'm losing face
I'm losing face
I'm losing

[Outro: Wilbur Soot]
Ooh-ooh, mmm-mmm
I don't care, I want you here
As long as you're happy, I don't care",222406,2232
Shes a Rainbow,pop,Lola Marsh -  ,2016,"[Verse 1]
Dearest, I'm broken, my body's unspoken
How could I be loved?
Wake up in the morning
Feeling uncertain like a burning old scar

[Pre-Chorus 1]
For I remember the courage I had as a child
Various colors I'm hiding inside

[Chorus]
She's a rainbow, ah...
She's a rainbow, ah...
And I am a difficult man
And I am a difficult man

[Verse 2]
Baby, I'm choking, my rhythm is smoking
I'm floating around
Shaking in the frozen Earth that I've chosen
Surfing the clouds
[Pre-Chorus 2]
For I remember the joy I have had as child
Various colors I'm hiding inside

[Chorus]
She's a rainbow, ah...
She's a rainbow, ah...
And I am a difficult man
And I am a difficult man
Oh, and I am a difficult man

[Instrumental]

[Outro]
She's a rainbow, ah...
She's a rainbow, ah...
Oh-oh, oh-oh...
Oh-oh, oh-oh...
Oh-oh, oh-oh...",24104,16354
Yes  No,pop,David Dunn,2019,"[Verse 1]
Here I am sitting again on the floor
In the space of my basement
Under my breath, I'm reciting the prayer
I keep on praying

[Pre-Chorus]
Déjà vu, me and You
On my knees, yeah, it's true

[Verse 2]
God, can't You see in the middle of me
In between, I am breaking?
How can I get You to change Your mind?
That's all I'm sayin'

[Pre-Chorus]
Déjà vu, beggin' You
I forget sometimes

[Chorus]
You'd say yes, You'd, You'd say no
For my best, God, You'd know
Better than me, better than me
You'd say yes, You'd, You'd say no
For my best, God, You'd know
Better than me, better than me, yeah yeah
[Verse 3]
What I want and what I really need
Only You know the difference
Learning You'd do what's best for me
With every answer given

[Pre-Chorus]
Déjà vu, it's what You do
You're showing me in time

[Chorus]
You'd say yes, You'd, You'd say no
For my best, God, You'd know
Better than me, better than me
You'd say yes, You'd, You'd say no
For my best, God, You'd know
Better than me, better than me, yeah yeah

[Bridge]
Giving me what I really need
To make me more like You
Less like me, less like me, yeah
Giving me what I really need
To make me more like You
Less like me, less like me
I forget sometimes
[Chorus]
(Oh) You'd say yes, You'd, You'd say no
For my best, God, You'd know
Better than me, better than me (Oh)
You'd say yes, You'd, You'd say no  (Whether You'd say no)
For my best, God, You'd know
Better than me (You know better than me)
Better than me, yeah yeah (Whoa)",2466,97119
